frame,wall_ms,deck,smooth_display_samp,output_pos_mono,drift,smooth_ref_present,rebuild_count,nudge,is_paused,nudge_mode
1104,803,0,130561.989,133991,-3429.011,true,3,0,false,jump
1105,812,0,131009.849,134432,-3422.151,true,3,0,false,jump
1106,822,0,131425.482,134432,-3006.518,true,3,0,false,jump
1107,831,0,131845.318,136480,-4634.682,true,3,0,false,jump
1108,840,0,132295.589,136921,-4625.411,true,3,0,false,jump
1109,851,0,132712.000,136921,-4209.000,true,3,0,false,jump
1110,859,0,133127.655,136921,-3793.345,true,3,0,false,jump
1111,869,0,133543.325,136921,-3377.675,true,3,0,false,jump
1112,878,0,133991.082,137362,-3370.918,true,3,0,false,jump
1113,888,0,134406.759,137362,-2955.241,true,3,0,false,jump
1114,897,0,134822.546,137362,-2539.454,true,3,0,false,jump
1115,907,0,135268.626,137803,-2534.374,true,3,0,false,jump
1116,916,0,135688.626,139851,-4162.374,true,4,0,false,jump
1117,925,0,136104.430,139851,-3746.570,true,4,0,false,jump
1118,935,0,136552.925,140292,-3739.075,true,4,0,false,jump
1119,944,0,136968.650,140292,-3323.350,true,4,0,false,jump
1120,954,0,137388.447,142340,-4951.553,true,4,0,false,jump
1121,963,0,137839.353,142781,-4941.647,true,4,0,false,jump
1122,973,0,138255.040,142781,-4525.960,true,4,0,false,jump
1123,982,0,138670.802,142781,-4110.198,true,4,0,false,jump
1124,992,0,139120.024,143222,-4101.976,true,4,0,false,jump
1125,1001,0,139539.679,145270,-5730.321,true,4,0,false,jump
1126,1010,0,139955.292,145270,-5314.708,true,4,0,false,jump
1127,1020,0,140371.123,145270,-4898.877,true,4,0,false,jump
1128,1029,0,140821.922,145711,-4889.078,true,4,0,false,jump
1129,1039,0,141241.697,147759,-6517.303,true,4,0,false,jump
1130,1048,0,141657.366,147759,-6101.634,true,4,0,false,jump
1131,1058,0,142110.572,148200,-6089.428,true,4,0,false,jump
1132,1067,0,142526.257,148200,-5673.743,true,4,0,false,jump
1133,1077,0,142941.996,148200,-5258.004,true,4,0,false,jump
1134,1086,0,143397.609,150689,-7291.391,true,4,0,false,jump
1135,1095,0,143813.266,150689,-6875.734,true,4,0,false,jump
1136,1105,0,144229.077,150689,-6459.923,true,4,0,false,jump
1137,1115,0,144683.001,151130,-6446.999,true,4,0,false,jump
1138,1124,0,145102.755,153178,-8075.245,true,4,0,false,jump
1139,1133,0,145518.974,153178,-7659.026,true,4,0,false,jump
1140,1143,0,145975.294,153619,-7643.706,true,4,0,false,jump
1141,1152,0,146392.141,153619,-7226.859,true,4,0,false,jump
1142,1162,0,146808.873,153619,-6810.127,true,4,0,false,jump
1143,1171,0,147228.848,155667,-8438.152,true,4,0,false,jump
