frame,wall_ms,deck,smooth_display_samp,output_pos_mono,drift,smooth_ref_present,rebuild_count,nudge,nudge_events,is_paused,nudge_mode,display_speed
1293,670,0,169746.910,170331,-584.090,true,4,0,1,false,jump,1.000000
1294,680,0,170162.894,170331,-168.106,true,4,0,1,false,jump,1.000000
1295,689,0,170578.538,170331,247.538,true,4,0,1,false,jump,1.000000
1296,699,0,170998.436,172379,-1380.564,true,4,0,1,false,jump,1.000000
1297,708,0,171414.974,172379,-964.026,true,4,0,1,false,jump,1.000000
1298,718,0,171831.445,172379,-547.555,true,4,0,1,false,jump,1.000000
1299,727,0,172247.855,172379,-131.145,true,4,0,1,false,jump,1.000000
1300,736,0,172663.599,172379,284.599,true,4,0,1,false,jump,1.000000
1301,746,0,173083.322,174427,-1343.678,true,4,0,1,false,jump,1.000000
1302,755,0,173499.753,174427,-927.247,true,4,0,1,false,jump,1.000000
1303,765,0,173915.438,174427,-511.562,true,4,0,1,false,jump,1.000000
1304,774,0,174331.895,174427,-95.105,true,4,0,1,false,jump,1.000000
1305,784,0,174752.087,176475,-1722.913,true,4,0,1,false,jump,1.000000
1306,793,0,175168.520,176475,-1306.480,true,4,0,1,false,jump,1.000000
1307,803,0,175584.261,176475,-890.739,true,4,0,1,false,jump,1.000000
1308,813,0,176000.727,176475,-474.273,true,4,0,1,false,jump,1.000000
1309,822,0,176417.146,176475,-57.854,true,4,0,1,false,jump,1.000000
1310,831,0,176836.983,178523,-1686.017,true,4,0,1,false,jump,1.000000
1311,840,0,177253.392,178523,-1269.608,true,4,0,1,false,jump,1.000000
1312,850,0,177669.831,178523,-853.169,true,4,0,1,false,jump,1.000000
1313,859,0,178086.263,178523,-436.737,true,4,0,1,false,jump,1.000000
1314,869,0,178506.043,180571,-2064.957,true,4,0,1,false,jump,1.000000
1315,878,0,178921.899,180571,-1649.101,true,4,0,1,false,jump,1.000000
1316,888,0,179338.513,180571,-1232.487,true,4,0,1,false,jump,1.000000
1317,897,0,179754.329,180571,-816.671,true,4,0,1,false,jump,1.000000
1318,907,0,180196.964,181012,-815.036,true,4,0,2,false,jump,1.000000
1319,916,0,180617.128,183060,-2442.872,true,4,0,2,false,jump,1.000000
1320,926,0,181033.679,183060,-2026.321,true,4,0,2,false,jump,1.000000
1321,935,0,181478.734,183501,-2022.266,true,4,0,3,false,jump,1.000000
1322,945,0,181895.190,183501,-1605.810,true,4,0,3,false,jump,1.000000
1323,954,0,182315.723,185549,-3233.277,true,4,0,3,false,jump,1.000000
1324,963,0,182763.193,185990,-3226.807,true,4,0,4,false,jump,1.000000
1325,973,0,183178.912,185990,-2811.088,true,4,0,4,false,jump,1.000000
1326,982,0,183594.616,185990,-2395.384,true,4,0,4,false,jump,1.000000
1327,992,0,184040.408,186431,-2390.592,true,4,0,5,false,jump,1.000000
1328,1001,0,184460.170,188479,-4018.830,true,4,0,5,false,jump,1.000000
1329,1011,0,184876.676,188479,-3602.324,true,4,0,5,false,jump,1.000000
1330,1020,0,185324.882,188920,-3595.118,true,4,0,6,false,jump,1.000000
1331,1030,0,185740.529,188920,-3179.471,true,4,0,6,false,jump,1.000000
1332,1039,0,186156.222,188920,-2763.778,true,4,0,6,false,jump,1.000000
1333,1048,0,186571.952,188920,-2348.048,true,4,0,6,false,jump,1.000000
1334,1058,0,187017.652,189361,-2343.348,true,4,0,7,false,jump,1.000000
1335,1067,0,187433.413,189361,-1927.587,true,4,0,7,false,jump,1.000000
1336,1077,0,187848.017,189361,-1512.983,true,4,0,7,false,jump,1.000000
1337,1086,0,188296.141,191850,-3553.859,true,4,0,8,false,jump,1.000000
1338,1096,0,188711.955,191850,-3138.045,true,4,0,8,false,jump,1.000000
1339,1105,0,189127.738,191850,-2722.262,true,4,0,8,false,jump,1.000000
1340,1115,0,189574.187,192291,-2716.813,true,4,0,9,false,jump,1.000000
1341,1124,0,189993.916,194339,-4345.084,true,4,0,9,false,jump,1.000000
1342,1133,0,190409.842,194339,-3929.158,true,4,0,9,false,jump,1.000000
1343,1143,0,190858.704,194780,-3921.296,true,4,0,10,false,jump,1.000000
1344,1152,0,191274.461,194780,-3505.539,true,4,0,10,false,jump,1.000000
1345,1162,0,191690.919,194780,-3089.081,true,4,0,10,false,jump,1.000000
1346,1171,0,192142.195,197269,-5126.805,true,4,0,11,false,jump,1.000000
1347,1181,0,192557.868,197269,-4711.132,true,4,0,11,false,jump,1.000000
1348,1190,0,192973.834,197269,-4295.166,true,4,0,11,false,jump,1.000000
1349,1200,0,193389.747,197269,-3879.253,true,4,0,11,false,jump,1.000000
1350,1209,0,193842.604,199758,-5915.396,true,4,0,12,false,jump,1.000000
1351,1219,0,194259.038,199758,-5498.962,true,4,0,12,false,jump,1.000000
1352,1228,0,194675.531,199758,-5082.469,true,4,0,12,false,jump,1.000000
1353,1237,0,195126.698,200199,-5072.302,true,4,0,13,false,jump,1.000000
1354,1247,0,195543.136,200199,-4655.864,true,4,0,13,false,jump,1.000000
